territory_id,datum,year,month,hcp_tier,rep_tenure,calls,samples_dropped,digital_touches,competitor_share,market_access,seasonality_idx,base_rx,rx_volume
TER_004,2016-11-30,2016,11,3,4,4,6,0,0.24,3,0.94,349.44,245.16
TER_004,2016-12-31,2016,12,3,4,4,5,0,0.1,3,1.0,349.44,251.91
TER_004,2017-01-31,2017,1,3,4,6,7,3,0.406,3,1.06,349.44,243.1
TER_004,2017-02-28,2017,2,3,4,8,9,5,0.658,3,1.104,349.44,210.99
TER_004,2017-03-31,2017,3,3,4,8,9,1,0.1,3,1.12,349.44,368.45
TER_004,2017-04-30,2017,4,3,4,7,9,4,0.677,3,1.104,349.44,221.88
TER_004,2017-05-31,2017,5,3,4,7,10,4,0.626,3,1.06,349.44,295.07
TER_004,2017-06-30,2017,6,3,4,9,15,8,0.603,3,1.0,349.44,230.6
TER_004,2017-07-31,2017,7,3,4,7,11,7,0.255,3,0.94,349.44,326.41
TER_004,2017-08-31,2017,8,3,4,15,25,3,0.169,3,0.896,349.44,561.56
TER_004,2017-09-30,2017,9,3,4,9,13,10,0.416,3,0.88,349.44,365.84
TER_004,2017-10-31,2017,10,3,4,9,14,8,0.732,3,0.896,349.44,217.05
TER_004,2017-11-30,2017,11,3,4,9,12,6,0.288,3,0.94,349.44,338.44
TER_004,2017-12-31,2017,12,3,4,8,8,5,0.492,3,1.0,349.44,271.76
TER_004,2018-01-31,2018,1,3,4,7,7,4,0.1,3,1.06,349.44,323.03
TER_004,2018-02-28,2018,2,3,4,2,3,0,0.1,3,1.104,349.44,228.69
TER_004,2018-03-31,2018,3,3,4,7,10,2,0.617,3,1.12,349.44,183.56
TER_004,2018-04-30,2018,4,3,4,6,8,4,0.138,3,1.104,349.44,341.9
TER_004,2018-05-31,2018,5,3,4,2,6,0,0.174,3,1.06,349.44,283.35
TER_004,2018-06-30,2018,6,3,4,6,8,5,0.206,3,1.0,349.44,344.4
TER_004,2018-07-31,2018,7,3,4,6,9,2,0.514,3,0.94,349.44,227.39
TER_004,2018-08-31,2018,8,3,4,8,9,6,0.731,3,0.896,349.44,230.61
TER_004,2018-09-30,2018,9,3,4,10,14,3,0.241,3,0.88,349.44,403.75
TER_004,2018-10-31,2018,10,3,4,6,6,3,0.258,3,0.896,349.44,316.69
TER_004,2018-11-30,2018,11,3,4,9,13,2,0.568,3,0.94,349.44,262.92
TER_004,2018-12-31,2018,12,3,4,10,13,3,0.298,3,1.0,349.44,394.9
TER_004,2019-01-31,2019,1,3,4,6,9,2,0.277,3,1.06,349.44,299.86
TER_004,2019-02-28,2019,2,3,4,5,7,3,0.224,3,1.104,349.44,288.69
TER_004,2019-03-31,2019,3,3,4,10,15,8,0.264,3,1.12,349.44,459.42
TER_004,2019-04-30,2019,4,3,4,7,11,7,0.209,3,1.104,349.44,371.32
TER_004,2019-05-31,2019,5,3,4,3,3,1,0.512,3,1.06,349.44,172.41
TER_004,2019-06-30,2019,6,3,4,4,6,0,0.85,3,1.0,349.44,49.63
TER_004,2019-07-31,2019,7,3,4,8,12,9,0.341,3,0.94,349.44,319.12
TER_004,2019-08-31,2019,8,3,4,5,7,2,0.151,3,0.896,349.44,248.67
TER_004,2019-09-30,2019,9,3,4,11,16,5,0.659,3,0.88,349.44,284.18
TER_004,2019-10-31,2019,10,3,4,9,16,5,0.268,3,0.896,349.44,402.55
TER_005,2014-01-31,2014,1,1,6,6,7,3,0.471,4,1.06,896.07,425.45
TER_005,2014-02-28,2014,2,1,6,5,7,3,0.791,4,1.104,896.07,379.75
TER_005,2014-03-31,2014,3,1,6,6,10,4,0.722,4,1.12,896.07,483.22
TER_005,2014-04-30,2014,4,1,6,6,6,4,0.557,4,1.104,896.07,439.88
TER_005,2014-05-31,2014,5,1,6,8,13,9,0.302,4,1.06,896.07,662.91
TER_005,2014-06-30,2014,6,1,6,6,8,5,0.339,4,1.0,896.07,565.14
TER_005,2014-07-31,2014,7,1,6,6,12,3,0.361,4,0.94,896.07,549.12
TER_005,2014-08-31,2014,8,1,6,12,18,9,0.262,4,0.896,896.07,677.36
TER_005,2014-09-30,2014,9,1,6,8,7,3,0.458,4,0.88,896.07,551.13
TER_005,2014-10-31,2014,10,1,6,6,11,2,0.589,4,0.896,896.07,461.37
TER_005,2014-11-30,2014,11,1,6,2,4,2,0.484,4,0.94,896.07,370.06
TER_005,2014-12-31,2014,12,1,6,9,14,5,0.356,4,1.0,896.07,683.83
TER_005,2015-01-31,2015,1,1,6,9,15,6,0.264,4,1.06,896.07,668.5
TER_005,2015-02-28,2015,2,1,6,11,15,11,0.104,4,1.104,896.07,746.88
TER_005,2015-03-31,2015,3,1,6,4,5,0,0.784,4,1.12,896.07,301.07
TER_005,2015-04-30,2015,4,1,6,5,8,2,0.315,4,1.104,896.07,548.24
TER_005,2015-05-31,2015,5,1,6,11,16,9,0.199,4,1.06,896.07,762.86
TER_005,2015-06-30,2015,6,1,6,6,8,8,0.325,4,1.0,896.07,528.52
TER_005,2015-07-31,2015,7,1,6,7,10,7,0.329,4,0.94,896.07,543.49
TER_005,2015-08-31,2015,8,1,6,5,9,1,0.707,4,0.896,896.07,362.75
TER_005,2015-09-30,2015,9,1,6,7,10,7,0.425,4,0.88,896.07,460.83
TER_005,2015-10-31,2015,10,1,6,8,12,6,0.268,4,0.896,896.07,613.05
TER_005,2015-11-30,2015,11,1,6,6,9,3,0.1,4,0.94,896.07,604.92
TER_005,2015-12-31,2015,12,1,6,11,19,11,0.397,4,1.0,896.07,669.35
TER_005,2016-01-31,2016,1,1,6,9,12,4,0.415,4,1.06,896.07,617.86
TER_005,2016-02-29,2016,2,1,6,7,7,3,0.14,4,1.104,896.07,636.98
TER_005,2016-03-31,2016,3,1,6,14,22,8,0.1,4,1.12,896.07,830.49
